"Market","Forecast","Timestamp"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:19:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:20:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:21:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:22:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:27:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:28:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:29:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:30:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:31:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:32:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:33:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:34:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:35:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:36:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:37:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:38:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:39:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:40:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:41:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:42:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:43:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:44:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:45:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:46:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:47:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:48:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:49:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:50:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:51:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:52:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:53:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:54:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:55:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:56:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:57:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:58:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:59:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:00:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:01:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:02:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:03:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:04:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:05:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:06:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:07:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:08:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:09:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:10:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:11:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:12:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:13:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:14:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:15:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:16:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:17:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:18:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:19:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:20:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:21:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:22:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:27:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:28:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:29:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:30:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:31:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:32:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:33:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:34:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:35:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:36:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:37:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:38:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:39:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:40:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:41:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:42:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:43:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:44:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:45:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:46:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:47:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:48:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:49:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:50:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:51:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:52:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:53:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:54:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:55:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:56:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:57:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:58:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T07:59:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:00:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:01:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:02:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:03:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:04:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:05:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:06:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T14:07:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:08:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:09:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:10:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:11:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:12:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:13:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:14:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T14:15:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:16:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:17:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:18:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:19:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:20:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:21:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:22:00.000Z"
"Oklahoma City vs Indiana Winner?","64.00%","2025-06-17T14:23:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:24:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:25:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:26:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:27:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:28:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:29:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:30:00.000Z"
"Oklahoma City vs Indiana Winner?","65.92%","2025-06-17T14:31:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:32:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:33:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:34:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:35:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:36:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:37:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:38:00.000Z"
"Oklahoma City vs Indiana Winner?","65.31%","2025-06-17T14:39:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:40:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:41:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:42:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:43:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:44:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:45:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:46:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T14:47:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:48:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:49:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:50:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:51:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:52:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:53:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:54:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T14:55:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T14:56:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T14:57:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T14:58:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T14:59:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T15:00:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T15:01:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T15:02:00.000Z"
"Oklahoma City vs Indiana Winner?","64.62%","2025-06-17T15:03:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:04:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:05:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:06:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:07:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:08:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:09:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:10:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:11:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:12:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:13:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:14:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:15:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:16:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:17:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:18:00.000Z"
"Oklahoma City vs Indiana Winner?","64.14%","2025-06-17T15:19:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:20:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:21:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:22:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:27:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T15:28:00.000Z"
"Oklahoma City vs Indiana Winner?","65.60%","2025-06-17T15:29:00.000Z"
"Oklahoma City vs Indiana Winner?","65.60%","2025-06-17T15:30:00.000Z"
"Oklahoma City vs Indiana Winner?","65.60%","2025-06-17T15:31:00.000Z"
"Oklahoma City vs Indiana Winner?","65.60%","2025-06-17T15:32:00.000Z"
